행정구역,2020년06월_총인구수,2020년06월_세대수,2020년06월_세대당 인구,2020년06월_남자 인구수,2020년06월_여자 인구수,2020년06월_남여 비율
충청남도 천안시 서북구 (4413300000),"398,518","172,745",2.31,"203,991","194,527",1.05
충청남도 공주시 (4415000000),"105,440","50,592",2.08,"52,838","52,602",1
충청남도 보령시 (4418000000),"100,647","48,949",2.06,"50,987","49,660",1.03
충청남도 아산시 (4420000000),"313,054","136,567",2.29,"162,398","150,656",1.08
충청남도 서산시 (4421000000),"174,884","78,063",2.24,"90,822","84,062",1.08
충청남도 논산시 (4423000000),"117,696","57,626",2.04,"58,862","58,834",1
충청남도 계룡시 (4425000000),"42,803","16,138",2.65,"21,319","21,484",0.99
충청남도 당진시 (4427000000),"166,084","76,642",2.17,"88,015","78,069",1.13
충청남도 금산군 (4471000000),"51,665","25,678",2.01,"26,034","25,631",1.02
충청남도 부여군 (4476000000),"65,919","33,479",1.97,"32,648","33,271",0.98
충청남도 서천군 (4477000000),"52,209","26,591",1.96,"25,829","26,380",0.98
충청남도 청양군 (4479000000),"30,994","16,166",1.92,"15,678","15,316",1.02
충청남도 홍성군 (4480000000),"99,980","46,182",2.16,"49,711","50,269",0.99
충청남도 예산군 (4481000000),"78,610","38,670",2.03,"39,464","39,146",1.01
충청남도 태안군 (4482500000),"62,272","32,250",1.93,"31,389","30,883",1.02
전라북도  (4500000000),"1,808,802","826,134",2.19,"899,137","909,665",0.99
전라북도 전주시 (4511000000),"655,472","278,954",2.35,"322,788","332,684",0.97
전라북도 전주시 완산구 (4511100000),"338,697","146,315",2.31,"165,043","173,654",0.95
전라북도 전주시 덕진구 (4511300000),"316,775","132,639",2.39,"157,745","159,030",0.99
전라북도 군산시 (4513000000),"268,356","119,323",2.25,"135,579","132,777",1.02
전라북도 익산시 (4514000000),"284,217","127,407",2.23,"141,545","142,672",0.99
전라북도 정읍시 (4518000000),"109,503","53,998",2.03,"54,267","55,236",0.98
전라북도 남원시 (4519000000),"81,051","39,051",2.08,"39,703","41,348",0.96
전라북도 김제시 (4521000000),"83,327","42,264",1.97,"41,262","42,065",0.98
전라북도 완주군 (4571000000),"91,841","42,551",2.16,"47,126","44,715",1.05
전라북도 진안군 (4572000000),"25,509","13,291",1.92,"12,876","12,633",1.02
전라북도 무주군 (4573000000),"24,042","12,536",1.92,"11,952","12,090",0.99
전라북도 장수군 (4574000000),"22,240","11,432",1.95,"11,073","11,167",0.99
전라북도 임실군 (4575000000),"27,783","14,767",1.88,"14,175","13,608",1.04
전라북도 순창군 (4577000000),"28,018","13,958",2.01,"13,605","14,413",0.94
전라북도 고창군 (4579000000),"54,858","28,973",1.89,"27,076","27,782",0.97
전라북도 부안군 (4580000000),"52,585","27,629",1.9,"26,110","26,475",0.99
전라남도  (4600000000),"1,854,618","882,615",2.1,"931,898","922,720",1.01
전라남도 목포시 (4611000000),"228,231","103,228",2.21,"113,829","114,402",0.99
전라남도 여수시 (4613000000),"281,121","125,458",2.24,"143,298","137,823",1.04
전라남도 순천시 (4615000000),"281,054","119,301",2.36,"140,303","140,751",1
전라남도 나주시 (4617000000),"114,448","56,817",2.01,"57,642","56,806",1.01
전라남도 광양시 (4623000000),"152,016","65,237",2.33,"79,189","72,827",1.09
전라남도 담양군 (4671000000),"46,045","23,875",1.93,"23,431","22,614",1.04
전라남도 곡성군 (4672000000),"28,340","15,311",1.85,"13,836","14,504",0.95
전라남도 구례군 (4673000000),"25,826","13,257",1.95,"12,523","13,303",0.94
전라남도 고흥군 (4677000000),"64,336","35,073",1.83,"31,214","33,122",0.94
전라남도 보성군 (4678000000),"40,939","22,560",1.81,"19,855","21,084",0.94
전라남도 화순군 (4679000000),"62,654","30,768",2.04,"30,997","31,657",0.98
전라남도 장흥군 (4680000000),"38,071","20,343",1.87,"18,482","19,589",0.94
전라남도 강진군 (4681000000),"34,913","18,536",1.88,"16,851","18,062",0.93
전라남도 해남군 (4682000000),"69,465","35,132",1.98,"34,269","35,196",0.97
전라남도 영암군 (4683000000),"54,266","27,660",1.96,"27,892","26,374",1.06
전라남도 무안군 (4684000000),"81,620","37,728",2.16,"40,940","40,680",1.01
전라남도 함평군 (4686000000),"32,360","17,942",1.8,"16,181","16,179",1
전라남도 영광군 (4687000000),"53,475","26,966",1.98,"26,665","26,810",0.99
전라남도 장성군 (4688000000),"45,203","23,174",1.95,"23,250","21,953",1.06
전라남도 완도군 (4689000000),"50,192","26,036",1.93,"25,246","24,946",1.01
전라남도 진도군 (4690000000),"30,461","16,318",1.87,"14,972","15,489",0.97
전라남도 신안군 (4691000000),"39,582","21,895",1.81,"21,033","18,549",1.13
경상북도  (4700000000),"2,646,493","1,241,310",2.13,"1,332,780","1,313,713",1.01
경상북도 포항시 (4711000000),"504,461","223,485",2.26,"254,995","249,466",1.02
경상북도 포항시 남구 (4711100000),"231,837","105,302",2.2,"119,491","112,346",1.06
경상북도 포항시 북구 (4711300000),"272,624","118,183",2.31,"135,504","137,120",0.99
경상북도 경주시 (4713000000),"253,758","119,945",2.12,"127,101","126,657",1
경상북도 김천시 (4715000000),"140,651","66,194",2.12,"70,596","70,055",1.01
경상북도 안동시 (4717000000),"158,526","75,761",2.09,"78,470","80,056",0.98
경상북도 구미시 (4719000000),"417,480","177,824",2.35,"214,220","203,260",1.05
경상북도 영주시 (4721000000),"104,003","49,480",2.1,"51,573","52,430",0.98
경상북도 영천시 (4723000000),"101,601","52,037",1.95,"51,636","49,965",1.03
경상북도 상주시 (4725000000),"98,201","48,679",2.02,"48,175","50,026",0.96
경상북도 문경시 (4728000000),"71,683","36,005",1.99,"35,101","36,582",0.96
경상북도 경산시 (4729000000),"263,034","117,601",2.24,"132,471","130,563",1.01
경상북도 군위군 (4772000000),"23,451","13,002",1.8,"11,971","11,480",1.04
경상북도 의성군 (4773000000),"52,142","28,508",1.83,"25,518","26,624",0.96
경상북도 청송군 (4775000000),"25,228","14,047",1.8,"12,616","12,612",1
경상북도 영양군 (4776000000),"16,748","9,019",1.86,"8,277","8,471",0.98
경상북도 영덕군 (4777000000),"36,721","20,087",1.83,"17,423","19,298",0.9
경상북도 청도군 (4782000000),"42,553","22,666",1.88,"20,857","21,696",0.96
경상북도 고령군 (4783000000),"31,764","16,420",1.93,"16,267","15,497",1.05
경상북도 성주군 (4784000000),"43,488","23,156",1.88,"22,471","21,017",1.07
경상북도 칠곡군 (4785000000),"115,345","52,754",2.19,"60,161","55,184",1.09
경상북도 예천군 (4790000000),"55,750","27,058",2.06,"27,401","28,349",0.97
경상북도 봉화군 (4792000000),"31,823","16,878",1.89,"16,024","15,799",1.01
경상북도 울진군 (4793000000),"48,843","25,368",1.93,"24,430","24,413",1
경상북도 울릉군 (4794000000),"9,239","5,336",1.73,"5,026","4,213",1.19
경상남도  (4800000000),"3,349,454","1,468,692",2.28,"1,686,331","1,663,123",1.01
경상남도 창원시 (4812000000),"1,040,118","437,060",2.38,"527,035","513,083",1.03
경상남도 창원시 의창구 (4812100000),"263,184","110,411",2.38,"133,960","129,224",1.04
경상남도 창원시 성산구 (4812300000),"216,982","85,681",2.53,"110,851","106,131",1.04
경상남도 창원시 마산합포구 (4812500000),"174,956","78,823",2.22,"87,093","87,863",0.99
경상남도 창원시 마산회원구 (4812700000),"192,433","81,454",2.36,"96,577","95,856",1.01
경상남도 창원시 진해구 (4812900000),"192,563","80,691",2.39,"98,554","94,009",1.05
경상남도 진주시 (4817000000),"347,462","151,567",2.29,"172,027","175,435",0.98
경상남도 통영시 (4822000000),"129,711","59,648",2.17,"65,214","64,497",1.01
경상남도 사천시 (4824000000),"111,184","52,841",2.1,"56,072","55,112",1.02
경상남도 김해시 (4825000000),"542,842","220,580",2.46,"274,583","268,259",1.02
경상남도 밀양시 (4827000000),"105,133","52,167",2.02,"51,496","53,637",0.96
경상남도 거제시 (4831000000),"246,878","103,260",2.39,"129,682","117,196",1.11
경상남도 양산시 (4833000000),"351,596","147,498",2.38,"176,445","175,151",1.01
경상남도 의령군 (4872000000),"26,957","14,758",1.83,"13,191","13,766",0.96
경상남도 함안군 (4873000000),"64,724","30,971",2.09,"32,793","31,931",1.03
경상남도 창녕군 (4874000000),"61,825","31,915",1.94,"30,708","31,117",0.99
경상남도 고성군 (4882000000),"51,811","26,086",1.99,"26,011","25,800",1.01
경상남도 남해군 (4884000000),"43,102","22,608",1.91,"20,733","22,369",0.93
경상남도 하동군 (4885000000),"45,454","23,699",1.92,"22,637","22,817",0.99
경상남도 산청군 (4886000000),"35,140","19,282",1.82,"17,236","17,904",0.96
경상남도 함양군 (4887000000),"39,321","20,574",1.91,"18,943","20,378",0.93
경상남도 거창군 (4888000000),"61,681","29,897",2.06,"30,123","31,558",0.95
경상남도 합천군 (4889000000),"44,515","24,281",1.83,"21,402","23,113",0.93
제주특별자치도  (5000000000),"671,316","297,669",2.26,"337,343","333,973",1.01
제주특별자치도 제주시 (5011000000),"490,254","213,135",2.3,"245,805","244,449",1.01
제주특별자치도 서귀포시 (5013000000),"181,062","84,534",2.14,"91,538","89,524",1.02
