행정구역,2020년06월_계_총인구수,2020년06월_계_연령구간인구수,2020년06월_계_0~4세,2020년06월_계_5~9세,2020년06월_계_10~14세,2020년06월_계_15~19세,2020년06월_계_20~24세,2020년06월_계_25~29세,2020년06월_계_30~34세,2020년06월_계_35~39세,2020년06월_계_40~44세,2020년06월_계_45~49세,2020년06월_계_50~54세,2020년06월_계_55~59세,2020년06월_계_60~64세,2020년06월_계_65~69세,2020년06월_계_70~74세,2020년06월_계_75~79세,2020년06월_계_80~84세,2020년06월_계_85~89세,2020년06월_계_90~94세,2020년06월_계_95~99세,2020년06월_계_100세 이상,2020년06월_남_총인구수,2020년06월_남_연령구간인구수,2020년06월_남_0~4세,2020년06월_남_5~9세,2020년06월_남_10~14세,2020년06월_남_15~19세,2020년06월_남_20~24세,2020년06월_남_25~29세,2020년06월_남_30~34세,2020년06월_남_35~39세,2020년06월_남_40~44세,2020년06월_남_45~49세,2020년06월_남_50~54세,2020년06월_남_55~59세,2020년06월_남_60~64세,2020년06월_남_65~69세,2020년06월_남_70~74세,2020년06월_남_75~79세,2020년06월_남_80~84세,2020년06월_남_85~89세,2020년06월_남_90~94세,2020년06월_남_95~99세,2020년06월_남_100세 이상,2020년06월_여_총인구수,2020년06월_여_연령구간인구수,2020년06월_여_0~4세,2020년06월_여_5~9세,2020년06월_여_10~14세,2020년06월_여_15~19세,2020년06월_여_20~24세,2020년06월_여_25~29세,2020년06월_여_30~34세,2020년06월_여_35~39세,2020년06월_여_40~44세,2020년06월_여_45~49세,2020년06월_여_50~54세,2020년06월_여_55~59세,2020년06월_여_60~64세,2020년06월_여_65~69세,2020년06월_여_70~74세,2020년06월_여_75~79세,2020년06월_여_80~84세,2020년06월_여_85~89세,2020년06월_여_90~94세,2020년06월_여_95~99세,2020년06월_여_100세 이상
서울특별시 동작구 (1159000000),"395,165","395,165","11,766","13,977","13,103","15,641","28,340","38,654","32,059","31,238","28,840","31,114","29,594","29,292","27,780","20,616","16,696","12,844","7,962","3,594","1,375",372,308,"191,211","191,211","5,999","7,143","6,774","7,960","13,242","19,162","16,209","15,822","14,455","15,575","14,275","13,980","12,896","9,344","7,352","5,921","3,315","1,239",360,97,91,"203,954","203,954","5,767","6,834","6,329","7,681","15,098","19,492","15,850","15,416","14,385","15,539","15,319","15,312","14,884","11,272","9,344","6,923","4,647","2,355","1,015",275,217
서울특별시 관악구 (1162000000),"499,740","499,740","10,791","12,947","12,978","16,863","40,519","69,183","48,908","39,292","33,397","36,380","34,531","34,232","32,863","25,455","20,754","16,095","8,905","3,666","1,314",351,316,"250,829","250,829","5,570","6,636","6,680","8,595","17,940","35,670","27,135","21,478","17,930","19,262","17,463","16,797","15,415","11,693","9,485","7,437","3,887","1,289",319,79,69,"248,911","248,911","5,221","6,311","6,298","8,268","22,579","33,513","21,773","17,814","15,467","17,118","17,068","17,435","17,448","13,762","11,269","8,658","5,018","2,377",995,272,247
서울특별시 서초구 (1165000000),"428,919","428,919","13,871","21,116","22,619","22,766","25,504","30,647","30,414","34,896","37,008","41,137","34,141","28,916","26,926","20,261","16,183","10,960","6,366","3,160","1,386",423,219,"205,037","205,037","7,170","10,941","11,466","11,649","12,456","14,530","14,019","15,995","16,943","19,846","16,977","13,926","12,514","9,217","7,409","5,358","2,937","1,153",370,105,56,"223,882","223,882","6,701","10,175","11,153","11,117","13,048","16,117","16,395","18,901","20,065","21,291","17,164","14,990","14,412","11,044","8,774","5,602","3,429","2,007","1,016",318,163
서울특별시 강남구 (1168000000),"541,233","541,233","14,398","23,366","28,530","30,815","33,634","41,458","39,968","43,903","46,679","52,856","44,193","35,794","32,681","25,609","20,109","13,398","7,545","3,817","1,703",494,283,"258,753","258,753","7,395","12,190","14,860","16,061","16,342","19,548","18,475","19,865","21,148","25,176","22,239","17,652","15,100","11,561","9,325","6,522","3,437","1,278",412,111,56,"282,480","282,480","7,003","11,176","13,670","14,754","17,292","21,910","21,493","24,038","25,531","27,680","21,954","18,142","17,581","14,048","10,784","6,876","4,108","2,539","1,291",383,227
서울특별시 송파구 (1171000000),"671,512","671,512","23,170","28,918","28,691","31,338","41,101","54,027","54,593","58,305","53,416","56,380","52,802","50,670","47,586","34,581","23,892","15,574","9,031","4,728","1,913",511,285,"324,317","324,317","12,078","14,890","14,585","16,060","20,022","25,324","26,194","28,078","25,657","27,285","25,759","24,291","22,325","16,550","11,719","7,550","3,814","1,503",454,107,72,"347,195","347,195","11,092","14,028","14,106","15,278","21,079","28,703","28,399","30,227","27,759","29,095","27,043","26,379","25,261","18,031","12,173","8,024","5,217","3,225","1,459",404,213
서울특별시 강동구 (1174000000),"457,164","457,164","15,503","19,373","19,016","20,486","26,980","34,348","33,355","38,437","36,057","37,547","36,024","36,750","35,670","25,598","17,983","11,850","6,748","3,364","1,455",379,241,"225,206","225,206","7,963","10,126","10,075","10,703","13,585","16,814","16,656","19,190","18,059","18,868","17,733","17,706","16,874","12,257","8,739","5,686","2,749",977,304,80,62,"231,958","231,958","7,540","9,247","8,941","9,783","13,395","17,534","16,699","19,247","17,998","18,679","18,291","19,044","18,796","13,341","9,244","6,164","3,999","2,387","1,151",299,179
부산광역시  (2600000000),"3,404,423","3,404,423","102,466","135,898","128,814","147,952","210,383","223,993","191,788","235,754","240,655","274,082","281,301","294,456","295,494","222,907","164,225","125,881","77,148","34,673","11,919","2,786","1,848","1,668,618","1,668,618","52,569","69,726","66,396","76,773","109,007","117,692","98,806","119,581","122,264","136,817","137,518","141,637","140,468","105,253","75,647","54,914","29,538","10,400","2,610",592,410,"1,735,805","1,735,805","49,897","66,172","62,418","71,179","101,376","106,301","92,982","116,173","118,391","137,265","143,783","152,819","155,026","117,654","88,578","70,967","47,610","24,273","9,309","2,194","1,438"
부산광역시 중구 (2611000000),"41,652","41,652",578,827,887,"1,255","2,493","3,076","2,203","2,306","2,366","3,194","3,422","3,734","4,259","3,509","2,773","2,274","1,441",614,279,81,81,"20,411","20,411",315,424,442,644,"1,176","1,621","1,184","1,243","1,300","1,731","1,755","1,839","2,004","1,659","1,209",986,560,201,70,30,18,"21,241","21,241",263,403,445,611,"1,317","1,455","1,019","1,063","1,066","1,463","1,667","1,895","2,255","1,850","1,564","1,288",881,413,209,51,63
부산광역시 서구 (2614000000),"107,947","107,947","2,325","3,309","3,235","4,115","6,795","6,798","5,191","6,244","6,506","8,165","8,613","9,630","10,278","8,383","6,705","5,565","3,623","1,607",581,158,121,"52,341","52,341","1,203","1,724","1,642","2,072","3,296","3,436","2,741","3,171","3,374","4,226","4,520","4,788","4,865","3,846","3,033","2,311","1,379",505,126,49,34,"55,606","55,606","1,122","1,585","1,593","2,043","3,499","3,362","2,450","3,073","3,132","3,939","4,093","4,842","5,413","4,537","3,672","3,254","2,244","1,102",455,109,87
부산광역시 동구 (2617000000),"89,698","89,698","1,987","2,243","2,243","3,040","4,780","5,906","5,124","5,452","5,402","6,816","7,287","7,740","8,675","7,204","5,723","4,948","3,119","1,332",481,96,100,"44,003","44,003","1,065","1,175","1,139","1,602","2,421","2,980","2,746","2,948","2,934","3,606","3,775","3,841","4,189","3,355","2,506","1,998","1,159",380,125,29,30,"45,695","45,695",922,"1,068","1,104","1,438","2,359","2,926","2,378","2,504","2,468","3,210","3,512","3,899","4,486","3,849","3,217","2,950","1,960",952,356,67,70
