,제목,청원시작일,청원종료일,참여인원,청원답변일,URL
63,일본 극우여론전에 이용되고 있는 가짜뉴스 근원지 조선일보 폐간 및 TV조선 설립허가취소,2019. 07. 11,2019. 08. 10,"245,569",2019. 09. 06,https://www1.president.go.kr/petitions/581384
64,리얼돌 수입 및 판매를 금지해주세요,2019. 07. 08,2019. 08. 07,"263,792",2019. 09. 06,https://www1.president.go.kr/petitions/581300
65,자두를 잔혹하게 살해한 범인을 잡아 강력 처벌해주세요 (동물보호법강화해주세요),2019. 07. 16,2019. 08. 15,"211,240",2019. 08. 30,https://www1.president.go.kr/petitions/581465
66,아동 성폭행범을 감형한 *** 판사 파면하라,2019. 06. 14,2019. 07. 14,"240,298",2019. 08. 07,https://www1.president.go.kr/petitions/580884
67,축구클럽에 축구한다고 차량에 태워 보낸 아이가 돌아오지 않았습니다,2019. 05. 24,2019. 06. 23,"213,025",2019. 07. 12,https://www1.president.go.kr/petitions/580402
68,2019형제*****호 가해용의자의 상장 취소 및 장학금 환수와 구속수사 및 가해용의자 보호기관들의 사죄를 청원합니다.,2019. 05. 27,2019. 06. 26,"216,862",2019. 07. 11,https://www1.president.go.kr/petitions/580452
69,버닝썬 VIP룸 6인을 수사해 주세요,2019. 04. 11,2019. 05. 11,"213,327",2019. 07. 10,https://www1.president.go.kr/petitions/579523
70,이천에서 벌어진 동물수간사건에 대한 강력한 처벌과 동물학대에 대한 범국가적인 대책마련을 촉구합니다.,2019. 05. 20,2019. 06. 19,"217,483",2019. 07. 04,https://www1.president.go.kr/petitions/580325
71,"불쌍한 우리 형님을 찾아주시고, 살인범 ***의 사형을 청원합니다.",2019. 06. 07,2019. 07. 07,"223,006",2019. 07. 04,https://www1.president.go.kr/petitions/580707
72,우리딸을 성폭행한 후 잔인하게 목졸라 죽인 극악무도한 살인마를 사형시켜 주세요,2019. 06. 04,2019. 07. 04,"348,417",2019. 07. 04,https://www1.president.go.kr/petitions/580639
73,문재인 대통령의 탄핵을 청원합니다.,2019. 04. 30,2019. 05. 30,"250,219",2019. 06. 28,https://www1.president.go.kr/petitions/579840
74,진주 방화 및 살인 범죄자에 대해서 무관용 원칙이 필요합니다.,2019. 04. 18,2019. 05. 18,"202,804",2019. 06. 14,https://www1.president.go.kr/petitions/579612
75,국회의원도 국민이 직접 소환할 수 있어야 합니다.,2019. 04. 24,2019. 05. 24,"210,344",2019. 06. 12,https://www1.president.go.kr/petitions/579708
76,자유 한국당 정당해산 청원,2019. 04. 22,2019. 05. 22,"1,831,900",2019. 06. 11,https://www1.president.go.kr/petitions/579682
77,더불어 민주당 정당해산청구!!,2019. 04. 29,2019. 05. 29,"337,964",2019. 06. 11,https://www1.president.go.kr/petitions/579779
78,김무성 전 의원을 내란죄로 다스려주십시오.,2019. 05. 03,2019. 06. 02,"224,852",2019. 06. 11,https://www1.president.go.kr/petitions/579927
79,연합뉴스에 국민혈세로 지급하는 연 300억원의 재정보조금 제도의 전면 폐지를 청원합니다.,2019. 04. 04,2019. 05. 04,"364,920",2019. 06. 03,https://www1.president.go.kr/petitions/579401
80,**대 수의대에서 실험중인 퇴역 탐지견을 구조해주십시요,2019. 04. 16,2019. 05. 16,"217,249",2019. 06. 03,https://www1.president.go.kr/petitions/579585
81,대통령님께서 < 세월호참사 특별수사단 >설치와 세월호참사 전면재수사를 지시해주시기를 청원합니다!!,2019. 03. 29,2019. 04. 28,"240,529",2019. 05. 27,https://www1.president.go.kr/petitions/577697
82,11.15포항지진 피해배상 및 지역재건 특별법』제정을 간곡히 요청합니다.,2019. 03. 22,2019. 04. 21,"212,675",2019. 05. 17,https://www1.president.go.kr/petitions/570236
83,김학의 성접대 관련 피해자 신분보호와 관련자들에 대한 엄정수사를 촉구합니다,2019. 03. 14,2019. 04. 13,"211,344",2019. 05. 03,https://www1.president.go.kr/petitions/561699
84,“정부아이돌봄서비스 아이돌보미 영유아 폭행 강력 처벌 및 재발방지방안 수립을 부탁합니다.”(14개월 아기가 아이돌보미에게  폭행을 당했습니다.),2019. 04. 01,2019. 05. 01,"281,764",2019. 04. 26,https://www1.president.go.kr/petitions/579353
85,소방공무원을 국가직으로 전환해주세요,2019. 04. 05,2019. 05. 05,"380,769",2019. 04. 24,https://www1.president.go.kr/petitions/579426
86,어머니를 살해한 음주운전자에게 솜방망이 처벌이 내려졌습니다. 제발 도와주세요.,2019. 02. 28,2019. 03. 30,"225,638",2019. 04. 19,https://www1.president.go.kr/petitions/541615
87,비리 수사 중임에도 불구하고 교육청 시정 명령까지 무시하고 끝까지 자신의 잘못을 인정하지 않는 ******고등학교 교장을 사법결과 나오기 전에 직무정지 시켜 주세요,2019. 02. 21,2019. 03. 23,"214,658",2019. 04. 18,https://www1.president.go.kr/petitions/534182
88,안녕하세요. 증인 윤지오입니다.,2019. 03. 30,2019. 04. 29,"318,057",2019. 04. 01,https://www1.president.go.kr/petitions/578761
89,심신미약 피의자에 의해 죽게된 우리 딸 억울하지 않게 해주세요,2018. 10. 18,2018. 11. 17,"216,834",2019. 03. 20,https://www1.president.go.kr/petitions/410524
90,故장자연씨의 수사 기간 연장 및 재수사를 청원합니다.,2019. 03. 12,2019. 04. 11,"738,566",2019. 03. 18,https://www1.president.go.kr/petitions/559071
91,고 장자연씨 관련 증언한 윤**씨 신변보호 청원,2019. 03. 08,2019. 04. 07,"386,506",2019. 03. 18,https://www1.president.go.kr/petitions/553263
92,"공공연한 여성 대상 약물 범죄 처벌과 ***을 비롯한 클럽, 유흥업소와 경찰 간의 유착에 대한 제대로 된 수사 및 처벌을 하라",2019. 01. 29,2019. 02. 28,"207,784",2019. 03. 18,https://www1.president.go.kr/petitions/511075
93,"경사 ***, 경장 *** 외 ***에서 뇌물받는지 조사부탁드립니다.",2019. 01. 29,2019. 02. 28,"312,197",2019. 03. 18,https://www1.president.go.kr/petitions/510422
